id,bsip_id,name,luas_lahan
1,1,Gayo,19.475
2,1,Paya Gajah,140.7
3,13,Singamerta,5.8
4,24,Tilongkabila,3.5
5,5,Sungai Tiga,3.4
6,9,Cipaku,35.72
7,10,Batang,5
8,10,Magelang,2.0833
9,10,Ungaran,23000
10,12,Mojosari,26.3
11,12,Karangploso - Malang,8
12,16,Simpang Monterado,164.323
13,16,Sungai Kakap,12
14,16,Selakau,0
15,18,Banjarbaru,6
16,18,Alabio,5.3
17,18,Barabai,9.8
18,18,Pelaihari,12
19,17,Unit Tatas,25
20,19,Samboja,10
21,19,Lempake,0
22,8,Petailing,28.33
23,8,Batu Betumpang,40
24,8,Gantung,15
25,8,Koba,10
26,7,Natar,60
27,7,Tegineneng,10.9573
28,26,Makariki,307
29,27,Bacan,279
30,14,Sandubaya,7.1033
31,14,Poto Tano (Badas),10.665
32,28,Andai,20
33,28,Manokwari,0
34,28,Sorong,0
35,25,Luyo,15
36,22,Gowa,96
37,22,Bone-Bone,36.2
38,22,Jeneponto,276.031
39,22,Luwu,41.28
40,23,Onembute,18
41,23,Wawotobi,13.5
42,20,Pandu,92
43,20,Kalasey,0
44,3,Bandarbuat,1.2
45,3,Rambatan,6.95
46,3,Sitiung,96
47,3,Sukarami,152.67
48,2,Gurgur,36.9
49,2,Pasar Miring,20
50,11,Banyakan,4.1838
51,4,Kubang Jaya (Mandau),3
52,4,Siak Hulu,8.9
53,21,Sidondo,30
54,6,Kayu Agung,26.658
55,6,Karang Agung,0
56,15,Naibonat,47
57,15,Lili,35
58,15,Maumere,6
59,15,Waingapu,100.13
60,29,Jayawijaya,0
61,29,Merauke,0